seed,policy,schedule_hash,admissions,entrants_offered,mean_waiting_time,protected_agent_epochs,active_floor_epochs,infeasible_floor_epochs,discrete_floor_violations,floor_shortfall_total,scaled_floor_shortfall_total,mean_floor_shortfall,lease_expiries,mean_churn_frac,mean_incumbent_utility_change,worst_incumbent_loss,shortfall_epochs,mean_shortfall_scale,noop_events,capacity_violations
1201986794,leases,291fcd9ffcc090e2,5,5,1.2,481,95,4,23,39.062372601499185,0.0,1.6983640261521384,48,0.06890875231609647,0.012251127480830657,-27.88671875,0,1.0,5,0
1201986794,leases_shortfall,291fcd9ffcc090e2,5,5,1.2,481,95,4,19,1.6732212652890084,0.7662970151853017,0.08806427712047413,48,0.0677365911439353,0.01225112748083055,-27.88671875,4,0.999976634979248,5,0
4292023536,reoptimize,77dae12942ba8653,5,5,0.0,0,0,0,0,0.0,0.0,0.0,0,0.07520586786837238,-0.018039527782566244,-18.20437956204379,0,1.0,3,0
4292023536,permanent_floors,77dae12942ba8653,5,5,6.2,608,99,30,151,4081.4882124123233,0.0,27.029723261008762,0,0.06641453246960734,0.16505288008423805,-53.050335570469805,0,1.0,4,0
4292023536,leases,77dae12942ba8653,5,5,0.2,579,99,1,49,40.364496403026045,0.0,0.8237652327148173,58,0.08146781533657146,0.26125305099388374,-41.59395973154363,0,1.0,3,0
4292023536,leases_shortfall,77dae12942ba8653,5,5,0.2,579,99,1,46,4.82021027314196,0.27327831559198046,0.10478717985091217,58,0.07926584115282051,0.26125305099388374,-41.59395973154363,1,0.9995701313018799,3,0
3701946791,reoptimize,70b7509d3ec27f16,5,5,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0630763358778626,-0.2110797547543215,-68.61538461538461,0,1.0,3,0
3701946791,permanent_floors,70b7509d3ec27f16,5,5,6.2,486,99,11,74,1748.1543720801833,0.0,23.623707730813287,0,0.061262813522355505,0.2253755713732322,-65.33333333333331,0,1.0,5,0
3701946791,leases,70b7509d3ec27f16,5,5,3.6,456,98,1,36,6.744778854377294,0.0,0.18735496817714706,42,0.06552998909487459,0.019748406229040765,-119.01587301587304,0,1.0,4,0
3701946791,leases_shortfall,70b7509d3ec27f16,5,5,3.6,456,98,1,32,3.4487607903712387,0.09432039977988182,0.10777377469910121,42,0.06557579062159215,0.02157050945676645,-119.01587301587304,1,0.9998500347137451,4,0
3440092520,reoptimize,237f146b059f5a3c,5,5,0.0,0,0,0,0,0.0,0.0,0.0,0,0.05962474092497186,0.15057567015979226,-45.56944444444446,0,1.0,5,0
3440092520,permanent_floors,237f146b059f5a3c,5,5,0.0,451,99,8,64,692.8573021666095,0.0,10.825895346353274,0,0.0703638555439941,0.5116238950422872,-48.514705882352956,0,1.0,5,0
3440092520,leases,237f146b059f5a3c,5,5,0.0,413,99,2,29,38.75058474845857,0.0,1.3362270602916748,38,0.0734964258220609,0.42806153394013613,-55.26190476190473,0,1.0,5,0
3440092520,leases_shortfall,237f146b059f5a3c,5,5,0.0,413,99,2,29,2.1672514151252287,0.2371151712205517,0.07473280741811134,38,0.07121071153634662,0.4405338177538834,-55.26190476190473,2,0.9994826316833496,5,0
1995199412,reoptimize,1d758f375e1b489d,5,5,0.0,0,0,0,0,0.0,0.0,0.0,0,0.06401879699248121,-0.08955475309413352,-32.0,0,1.0,6,0
1995199412,permanent_floors,1d758f375e1b489d,5,5,0.2,444,99,41,193,3365.1811375436196,0.0,17.4361716971172,0,0.064562656641604,0.0565662465023932,-46.41509433962264,0,1.0,6,0
